"ID","Perspective","Scene","Combo","Awe_S","Time","Selfloss","Connect","Vast","Physiological","Accomodation","Mean_IPQ","SP_IPQ","INV_IPQ","REAL_IPQ"
"d6aeec7a-e7af-4530-ad6d-c5322a164b5d","ThirdPerson","Snow","ST",3.66666666666667,4.4,3.8,3.4,3,3.6,3.8,2.71428571428571,2.2,3.25,3.25
"f5720393-fe29-4b78-9aa6-f4b34347f245","ThirdPerson","Snow","ST",3.1,5,1.6,2.8,3.8,1.4,4,3.35714285714286,4,3.5,2
"b8c1538b-cf68-4c12-855e-8091b7548baf","FirstPerson","Corridor","CF",2.76666666666667,3.8,4,2.2,1.6,1.6,3.4,2.64285714285714,3.2,2.75,2
"be698ec0-1390-410f-9cd5-068f8b3d297f","FirstPerson","Corridor","CF",4.36666666666667,5.6,4.2,2,4.6,4.8,5,3.78571428571429,4,4,3
"799eb8e9-6022-4db9-bcd7-5e1f9cd10e17","FirstPerson","Corridor","CF",3.26666666666667,4.6,1,1,5,2.6,5.4,2.78571428571429,2.4,3.5,2.25
"1db4c4e1-9290-4079-aa22-b399b529fc1e","FirstPerson","Corridor","CF",3.4,6.4,2,3.2,4.4,1.8,2.6,3.5,4.4,3.5,2
"460d1458-f30b-4fb1-be29-ea0c85d19901","FirstPerson","Corridor","CF",2.1,4,1.8,1,2.2,1,2.6,3.21428571428571,3.6,3,2.25
"128306fb-b03e-473e-9637-55f3c42f5f45","FirstPerson","Corridor","CF",2.46666666666667,7,3.8,1,1,1,1,4.14285714285714,4.8,4.5,2.5
"77a94b64-694c-4a5f-aaf9-6d829c5717d4","FirstPerson","Corridor","CF",3.76666666666667,4,4.8,2.4,4.8,1.8,4.8,3.07142857142857,3.8,3.25,2.25
"cb71a925-62ca-46c0-b5e4-7d1a9628b583","FirstPerson","Corridor","CF",3.43333333333333,4.6,4,3.6,3.4,2.8,2.2,2.78571428571429,3.2,2.25,2.25
"c92ccda1-fc43-47d9-aca6-7373290dd7eb","FirstPerson","Corridor","CF",4.76666666666667,5.2,5.6,4.8,5.8,2,5.2,3.21428571428571,3.8,4,1.5
"efc7982f-0be5-4df4-afa1-8fde49360df9","FirstPerson","Corridor","CF",2.53333333333333,6,5,1,1.2,1,1,2,2.2,2.5,1.5
"9bda0f8c-ae60-4ec0-bcf5-d866a221c262","FirstPerson","Corridor","CF",2.76666666666667,5,2,4.2,2.4,1.4,1.6,2.14285714285714,1.6,3.25,1.25
"f5720393-fe29-4b78-9aa6-f4b34347f245","FirstPerson","Corridor","CF",2.6,4.8,2.6,1.4,2,1.2,3.6,3.28571428571429,3.8,3.75,2
"6221a58d-3855-41e3-8d7b-427848ad9ea0","FirstPerson","Corridor","CF",2.6,7,1.6,2.2,1.4,1,2.4,3.28571428571429,4,3.75,1.5
"6a026f17-86be-46ee-bd3b-f32e3470496c","FirstPerson","Corridor","CF",4.03333333333333,6,4.4,3.2,3.6,2,5,2.92857142857143,3,3.25,2.25
"774a1777-ac4c-43db-a887-ea94a050d72a","FirstPerson","Corridor","CF",1.5,3.2,1,1,1,1,1.8,2.92857142857143,3.4,3.5,1.5
"c28131ac-4b92-4378-9a39-ca3afa60e88e","FirstPerson","Corridor","CF",2.3,4.2,2.8,1,1,1.4,3.4,3.78571428571429,5.2,3.75,2
"1b88f896-6b43-414a-9f17-27bd898639e3","FirstPerson","Corridor","CF",2.3,5.2,1.6,1.2,1,1,3.8,2.71428571428571,3,3.75,1.5
"066ff76a-1a5b-4ead-ad87-0e9529221e00","FirstPerson","Corridor","CF",1.16666666666667,1,1.4,1,1.2,1,1.4,1.71428571428571,1.8,2.25,1.5
"0f3d3f5f-f866-48c9-94c3-caeb69d76bdb","FirstPerson","Corridor","CF",2.56666666666667,5,3.2,1.4,2,1.6,2.2,2.57142857142857,3.2,2.25,1.75
"c889fb74-81a5-4616-9c58-65cc7118ba8e","FirstPerson","Corridor","CF",2.63333333333333,5,3.6,1.2,1,2.2,2.8,2.21428571428571,3.2,2.25,1.5
"04142460-40ea-48e8-b2f0-324b158bcf23","FirstPerson","Corridor","CF",1.6,1,1,1,1.6,1,4,2.78571428571429,3.6,2.25,2.25
"0fd28bcf-dc08-4001-b836-d666fd305488","FirstPerson","Corridor","CF",2.16666666666667,4,4.4,1,1.2,1,1.4,3.07142857142857,3.4,3.5,1.75
"d6aeec7a-e7af-4530-ad6d-c5322a164b5d","FirstPerson","Corridor","CF",3.53333333333333,4.2,4.4,2.6,1.8,3.4,4.8,3.21428571428571,2.8,3.5,3.5
